# path_index	title	content_type
0	دورة التخطيط الإستراتيجي	course
0	دورة تنمية قدرات القادة على التأثير والإقناع	course
0	دورة قيادة فرق العمل	course
0	دورة برنامج القيادة التحويلية المتفردة	course
0	دورة بناء الرؤية الإبداعية وكيفية صياغة الأهداف الإستراتيجية	course
0	دورة قيادة تطبيقات العمل المؤسسي	course
0	دورة الاتجاهات الحديثة في القيادة الفعالة	course
0	دورة دور المديرين والقادة في التطوير الإداري	course
0	دورة الإدارة المتفوقة	course
0	دورة مهارات حل المشكلات واتخاذ القرارات	course
0	دورة المهارات المتقدمة في التخطيط الإستراتيجي	course
0	دورة التميز المؤسسي	course
0	دورة القيادة التنظيمية في اتخاذ القرار	course
0	دورة إدارة المخاطر والأزمات	course
1	دورة إدارة المشاريع الاحترافية	course
1	دورة إدارة التغيير والتخطيط التشغيلي ومؤشرات القياس	course
1	دورة تطوير القيادة المتوسطة	course
1	دورة مهارات التنظيم وإدارة الفعاليات والمؤتمرات والمعارض	course
1	دورة هندسة التغيير المخطط له	course
1	دورة إدارة سلاسل الإمداد والتموين	course
1	دورة تنمية المهارات القيادية على التأثير والاقناع	course
1	دورة إدارة وتطوير الجودة والتميز المؤسسي	course
1	دورة مؤشرات الأداء	course
1	دورة تأهيل القيادات الوسطي لمهام ومسؤوليات القيادات العليا	course
2	دورة إعداد الخطط الإعلامية في التسويق	course
2	دورة تنمية مهارات التواصل والتعامل مع وسائل الإعلام	course
2	دورة أخلاقيات الإعلام	course
2	دورة المتحدث الرسمي الإعلامي	course
2	دورة الإتيكيت والبروتوكول	course
2	دورة الإعلام الرقمي وشبكات التواصل الاجتماعي	course
2	دورة تخطيط وإدارة البرامج الإعلامية والاتصالية	course
2	دورة تطوير المحتوى الإعلامي الفعّال	course
3	دورة إدخال البيانات	course
3	مهارات التسويق الرقمي	course
3	تصميم وإنتاج الموشن جرافيك	course
3	إنترنت الأشياء	course
3	احتراف ميكروسوفت وورد	course
3	احتراف ميكروسوفت إكسل	course
3	الذكاء الاصطناعي	course
3	الأمن السيبراني	course
3	الأمن السيبراني المتقدم	course
3	تحليل البيانات	course
3	التحول الرقمي	course
3	التصميم الجرافيكي	course
3	احتراف ميكروسوفت بوربوينت	course
3	مهارات توظيف الأوفيس في العمل الإداري	course
4	دورة دراسات الجدوى للمشاريع	course
4	دورة استخدام الإكسل في الإدارة المالية	course
4	دورة إدارة العمليات المالية والتخطيط المالي المتقدم	course
4	دورة حماية المال العام	course
4	دورة ضبط التكلفة وإدارة الجودة	course
4	دورة أساسيات المحاسبة لغير المحاسبين	course
4	دورة إعداد القوائم المالية	course
4	دورة التخطيط المالي والموازنات التخطيطية	course
4	دورة دراسة جدوى المشروعات	course
4	دورة تطبيق المعايير المحاسبية الدولية في القطاع الحكومي	course
4	دورة التحليل المالي	course
4	دورة إدارة المخزون	course
4	دورة إعداد التقارير المالية	course
4	دورة إدارة الأزمات المالية	course
5	دورة إدارة الموارد البشرية	course
5	دورة المهارات التطبيقية لمؤشرات أداء الموارد البشرية	course
5	دورة مهارات تقييم الأداء الوظيفي	course
5	دورة تطبيقات الجدارات الوظيفية المتقدمة	course
5	دورة مهارات استقطاب المواهب في إدارة الموارد البشرية بفاعلية	course
5	دورة تطوير أنظمة وإجراءات شؤون الموظفين	course
5	دورة تطوير قدرات مسؤولي التدريب والتطوير	course
